calendarCreateEvent,calendarEvent,calendarTvShow,calendarConcert,calendarSport,calendarAttendees,calendarDate,calendarTime,calendarDuration,calendarTitle,calendarLocation,calendarRecurrence
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add damian s birthday to my calendar,,,,,,,,,damian s birthday,,
add dance party at studio 54 at 10 30 p.m twenty sixth January,,,,,,twenty sixth January,10 30 p.m,,dance party,studio 54,
add dance party at studio 54 at 5 41 a m fifteenth December,,,,,,fifteenth December,5 41 a m,,dance party,studio 54,
add dance party at studio 54 at 8 15 pm January twenty first,,,,,,January twenty first,8 15 pm,,dance party,studio 54,
add dance party at studio 54 at 9 31 fourth August,,,,,,fourth August,9 31,,dance party,studio 54,
add dance party at studio 54 at 9 53 fifteenth September,,,,,,fifteenth September,9 53,,dance party,studio 54,
add dinner with A J Foyt at terry s grill at 11 30 in my calendar every day,,,,,A J Foyt,,11 30,,dinner,terry s grill,every day
add dinner with Alis at 11 45 first February on my schedule,,,,,Alis,first February,11 45,,dinner,,
add dinner with Alvin at terry s grill at 5 30 in my calendar every day,,,,,Alvin,,5 30,,dinner,terry s grill,every day
add dinner with Chitra Banerjee Divakaruni on December fourth at 4 15,,,,,Chitra Banerjee Divakaruni,December fourth,4 15,,dinner,,
add dinner with Coningsby 10 15,,,,,Coningsby,,10 15,,dinner,,
add dinner with Elyse every first February 7 15 at roscoe s,,,,,Elyse,first February,7 15,,dinner,roscoe s,every
add dinner with Kimiko 11 a m,,,,,Kimiko,,11 a m,,dinner,,
add dinner with Larry.Crockett@yahoo.co.uk on twenty first July at 4 36,,,,,Larry.Crockett@yahoo.co.uk,twenty first July,4 36,,dinner,,
add dinner with Leanne at terry s grill at 9 31 a.m in my calendar every day,,,,,Leanne,,9 31 a.m,,dinner,terry s grill,every day
add dinner with Lester.Lyles82@artlover.com.au at terry s grill at 1 45 in my calendar every day,,,,,Lester.Lyles82@artlover.com.au,,1 45,,dinner,terry s grill,every day
add dinner with MacDonald at 7 2 August first on my schedule,,,,,MacDonald,August first,7 2,,dinner,,
add dinner with Otto.Loewi@arnet.com.ar on twenty first August at 1 p.m,,,,,Otto.Loewi@arnet.com.ar,twenty first August,1 p.m,,dinner,,
add dinner with Soleil at terry s grill at 9 45 am in my calendar every day,,,,,Soleil,,9 45 am,,dinner,terry s grill,every day
add dinner with Steven Schiff at terry s grill at 8 in my calendar every day,,,,,Steven Schiff,,8,,dinner,terry s grill,every day
add dinner with Tracy.Morgan@yahoo.com 10 30,,,,,Tracy.Morgan@yahoo.com,,10 30,,dinner,,
add dinner with Victoria Jackson at terry s grill at 11 in my calendar every day,,,,,Victoria Jackson,,11,,dinner,terry s grill,every day
add dinner with William.Faulkner249@technisamail.co.za 2 am,,,,,William.Faulkner249@technisamail.co.za,,2 am,,dinner,,
add dinner with Yancey at terry s grill at 10 pm in my calendar every day,,,,,Yancey,,10 pm,,dinner,terry s grill,every day
add dinner with mommy at terry s grill at 11 5 in my calendar every day,,,,,mommy,,11 5,,dinner,terry s grill,every day
add dinner with mother at 2 49 March fifth on my schedule,,,,,mother,March fifth,2 49,,dinner,,
add disneyland visit with Burim to my schedule,,,,,Burim,,,,disneyland visit,,
add dorm dinner on August twenty first to my calendar and tell Adriane about this,,,,,Adriane,August twenty first,,,dorm dinner,,
add dorm dinner on January twenty first to my calendar and tell Naushad about this,,,,,Naushad,January twenty first,,,dorm dinner,,
add dorm dinner on June twenty sixth to my calendar and tell Siobhan about this,,,,,Siobhan,June twenty sixth,,,dorm dinner,,
add dorm dinner on November twentieth to my calendar and tell Baldassare about this,,,,,Baldassare,November twentieth,,,dorm dinner,,
add dorm dinner on September third to my calendar and tell Egon about this,,,,,Egon,September third,,,dorm dinner,,
add dorm dinner on fifteenth July to my calendar and tell Ernst B Haas about this,,,,,Ernst B Haas,fifteenth July,,,dorm dinner,,
add dorm dinner on fourth March to my calendar and tell Mato.Kósyk641@army.net about this,,,,,Mato.Kósyk641@army.net,fourth March,,,dorm dinner,,
add dorm dinner on fourth May to my calendar and tell Konijeti Rosaiah about this,,,,,Konijeti Rosaiah,fourth May,,,dorm dinner,,
add dorm dinner on third June to my calendar and tell Jason about this,,,,,Jason,third June,,,dorm dinner,,
add dorm dinner on twenty first April to my calendar and tell Piyush about this,,,,,Piyush,twenty first April,,,dorm dinner,,
add dorm dinner on twenty first December to my calendar and tell Francis.Ford856@ymail.co.in about this,,,,,Francis.Ford856@ymail.co.in,twenty first December,,,dorm dinner,,
add dorm dinner on twenty sixth June to my calendar and tell Allysin Chaynes about this,,,,,Allysin Chaynes,twenty sixth June,,,dorm dinner,,
add erica s baby s baptism to my calendar and invite Hansel.Mieth387@ados.fr,,,,,Hansel.Mieth387@ados.fr,,,,erica s baby s baptism,,
add erica s baby s baptism to my calendar and invite Liu Yuhong,,,,,Liu Yuhong,,,,erica s baby s baptism,,
add erica s baby s baptism to my calendar and invite Matt.Groening@webmail.fr,,,,,Matt.Groening@webmail.fr,,,,erica s baby s baptism,,
add erica s baby s baptism to my calendar and invite Prem,,,,,Prem,,,,erica s baby s baptism,,
add erica s baby s baptism to my calendar and invite Samuel W Dana,,,,,Samuel W Dana,,,,erica s baby s baptism,,
add event called movie screening with Olive.Dennis956@artlover.com.au,,,,,Olive.Dennis956@artlover.com.au,,,,movie screening,,
add event called movie screening with Poul,,,,,Poul,,,,movie screening,,
add event called movie screening with René,,,,,René,,,,movie screening,,
add event called movie screening with Steven,,,,,Steven,,,,movie screening,,
add exhibition opening for April twenty sixth at 3 at moma,,,,,,April twenty sixth,3,,exhibition opening,moma,
add exhibition opening for January fourth at 8 15 at moma,,,,,,January fourth,8 15,,exhibition opening,moma,
add exhibition opening for May twenty sixth at 7 at moma,,,,,,May twenty sixth,7,,exhibition opening,moma,
add exhibition opening for fifth April at 5 15 at moma,,,,,,fifth April,5 15,,exhibition opening,moma,
add exhibition opening for fourth October at 1 0 at moma,,,,,,fourth October,1 0,,exhibition opening,moma,
add exhibition opening for second April at 2 45 at moma,,,,,,second April,2 45,,exhibition opening,moma,
add exhibition opening for twentieth December at 6 15 at moma,,,,,,twentieth December,6 15,,exhibition opening,moma,
add farmers market with Antonin every fifth January on my schedule,,,,,Antonin,fifth January,,,farmers market,,every
add farmers market with Eva.Mendes893@techie.com every November fifteenth on my schedule,,,,,Eva.Mendes893@techie.com,November fifteenth,,,farmers market,,every
add farmers market with Gyaincain Norbu every July twenty sixth on my schedule,,,,,Gyaincain Norbu,July twenty sixth,,,farmers market,,every
add farmers market with James.Henry974@arnet.com.ar every April fifteenth on my schedule,,,,,James.Henry974@arnet.com.ar,April fifteenth,,,farmers market,,every
add farmers market with Milena every April third on my schedule,,,,,Milena,April third,,,farmers market,,every
add farmers market with Terah every twentieth October on my schedule,,,,,Terah,twentieth October,,,farmers market,,every
add fifteen minutes lunch meeting with Andy Rooney to my agenda,,,,,Andy Rooney,,,fifteen minutes,lunch meeting,,
add fifth to calendar,fifth,,,,,,,,,,
add first one to my agenda,first one,,,,,,,,,,
add fishing on the hudson to my calendar,,,,,,,,,fishing on the hudson,,
add fishing on the hudson to my calendar,,,,,,,,,fishing on the hudson,,
add fishing on the hudson to my calendar,,,,,,,,,fishing on the hudson,,
add fishing on the hudson to my calendar,,,,,,,,,fishing on the hudson,,
add flight to florida for this December fourth to my calendar,,,,,,December fourth,,,flight to florida,,
add flight to florida for this fifteenth November to my calendar,,,,,,fifteenth November,,,flight to florida,,
add flight to florida for this second December to my calendar,,,,,,second December,,,flight to florida,,
add flight to florida for this third December to my calendar,,,,,,third December,,,flight to florida,,
add foot doctor to my January first schedule,,,,,,January first,,,foot doctor,,
add foot doctor to my October twenty first schedule,,,,,,October twenty first,,,foot doctor,,
add foot doctor to my September fourth schedule,,,,,,September fourth,,,foot doctor,,
add foot doctor to my September twentieth schedule,,,,,,September twentieth,,,foot doctor,,
add foot doctor to my second December schedule,,,,,,second December,,,foot doctor,,
add foot doctor to my twentieth August schedule,,,,,,twentieth August,,,foot doctor,,
add four hours lunch meeting with Bradford to my agenda,,,,,Bradford,,,four hours,lunch meeting,,
add four hours lunch meeting with Ferris to my agenda,,,,,Ferris,,,four hours,lunch meeting,,
add four hours lunch meeting with Jemima to my agenda,,,,,Jemima,,,four hours,lunch meeting,,
add fourth one to my calendar,,,fourth one,,,,,,,,
add girls night out to calendar for June fifth at 4 30 p.m with Alexei.L@techie.com,,,,,Alexei.L@techie.com,June fifth,4 30 p.m,,girls night out,,
add girls night out to calendar for June twentieth at 3 30 with spouse,,,,,spouse,June twentieth,3 30,,girls night out,,
add girls night out to calendar for May twenty sixth at 3 45 with Daphna,,,,,Daphna,May twenty sixth,3 45,,girls night out,,
add girls night out to calendar for fifteenth November at 2 15 with mommy,,,,,mommy,fifteenth November,2 15,,girls night out,,
add girls night out to calendar for second May at 11 am with Beny,,,,,Beny,second May,11 am,,girls night out,,
add grandma visit every fifth September with Jane.Seymour@artlover.com,,,,,Jane.Seymour@artlover.com,fifth September,,,grandma visit,,every
add grandma visit every first June with Valerian,,,,,Valerian,first June,,,grandma visit,,every
add grocery shopping with Margo to my calendar,,,,,Margo,,,,grocery shopping,,
add grocery shopping with Siergiej to my calendar,,,,,Siergiej,,,,grocery shopping,,
add grocery shopping with Vaibhavi Merchant to my calendar,,,,,Vaibhavi Merchant,,,,grocery shopping,,
add grocery shopping with grand mother to my calendar,,,,,grand mother,,,,grocery shopping,,
add grocery shopping with Ángel to my calendar,,,,,Ángel,,,,grocery shopping,,
add halloween party to my calendar on April twenty first at 4 45 at melissa s house,,,,,,April twenty first,4 45,,halloween party,melissa s house,
add halloween party to my calendar on February fifth at 9 45 a m at melissa s house,,,,,,February fifth,9 45 a m,,halloween party,melissa s house,
add halloween party to my calendar on twenty first May at 10 30 at melissa s house,,,,,,twenty first May,10 30,,halloween party,melissa s house,
add ileana s birthday August third to my calendar,,,,,,August third,,,ileana s birthday,,
add ileana s birthday January third to my calendar,,,,,,January third,,,ileana s birthday,,
add ileana s birthday June twenty first to my calendar,,,,,,June twenty first,,,ileana s birthday,,
add ileana s birthday November twentieth to my calendar,,,,,,November twentieth,,,ileana s birthday,,
add ileana s birthday third March to my calendar,,,,,,third March,,,ileana s birthday,,
add it concert to calendar,,,it,,,,,,,,
add it to calendar,it,,,,,,,,,,
add it to calendar,it,,,,,,,,,,
add it to my calendar,it,,,,,,,,,,
add it to my calendar,it,,,,,,,,,,
add it to my calendar,it,,,,,,,,,,
add it to my calendar,it,,,,,,,,,,
add john s birthday party to my calendar on April fifth at 3 45 p m,,,,,,April fifth,3 45 p m,,john s birthday party,,
add john s birthday party to my calendar on December third at 1,,,,,,December third,1,,john s birthday party,,
add john s birthday party to my calendar on December twenty first at 11 am,,,,,,December twenty first,11 am,,john s birthday party,,
add john s birthday party to my calendar on January twenty sixth at 2 49 a.m,,,,,,January twenty sixth,2 49 a.m,,john s birthday party,,
add john s birthday party to my calendar on September twenty first at 9 30,,,,,,September twenty first,9 30,,john s birthday party,,
add john s birthday party to my calendar on fifth July at 7,,,,,,fifth July,7,,john s birthday party,,
add john s birthday party to my calendar on twenty first July at 5 45 a m,,,,,,twenty first July,5 45 a m,,john s birthday party,,
add john s birthday party to my calendar on twenty sixth August at 12 45 p.m,,,,,,twenty sixth August,12 45 p.m,,john s birthday party,,
add john s birthday party to my calendar on twenty sixth January at 10 59 a.m,,,,,,twenty sixth January,10 59 a.m,,john s birthday party,,
add john s birthday party to my calendar on twenty sixth March at 5 45,,,,,,twenty sixth March,5 45,,john s birthday party,,
